Name,Profile,Tier,Gold,Silver,Bronze,Points
bestfitting,https://www.kaggle.com/bestfitting,grandmaster,26,7,1,207318
Guanshuo Xu,https://www.kaggle.com/wowfattie,grandmaster,14,15,2,184217
Μαριος Μιχαηλιδης KazAnova,https://www.kaggle.com/kazanova,grandmaster,37,49,36,170407
Psi,https://www.kaggle.com/philippsinger,grandmaster,11,3,0,165105
Giba,https://www.kaggle.com/titericz,grandmaster,52,40,26,163819
NQ,https://www.kaggle.com/david1013,master,1,2,0,137720
dott,https://www.kaggle.com/dott1718,grandmaster,10,3,1,137107
Dieter,https://www.kaggle.com/christofhenkel,grandmaster,11,6,2,126932
CPMP,https://www.kaggle.com/cpmpml,grandmaster,15,14,3,119624
Russ Wolfinger,https://www.kaggle.com/sasrdw,grandmaster,14,6,1,116324
Ahmet Erdem,https://www.kaggle.com/aerdem4,grandmaster,10,12,2,111247
pudae,https://www.kaggle.com/pudae81,grandmaster,7,6,2,101618
Bojan Tunguz,https://www.kaggle.com/tunguz,master,7,15,26,101263
beluga,https://www.kaggle.com/gaborfodor,grandmaster,11,11,11,99621
alijs,https://www.kaggle.com/alijs1,grandmaster,8,16,10,90135
Selim Seferbekov,https://www.kaggle.com/selimsef,grandmaster,6,2,1,86907
outrunner,https://www.kaggle.com/outrunner,grandmaster,5,14,3,82067
n01z3,https://www.kaggle.com/drn01z3,grandmaster,12,18,6,81578
ZFTurbo,https://www.kaggle.com/zfturbo,grandmaster,21,24,9,80327
SeuTao,https://www.kaggle.com/shentao,grandmaster,10,4,1,79077
Mathurin Aché,https://www.kaggle.com/mathurinache,master,4,30,35,78023
Silogram,https://www.kaggle.com/psilogram,grandmaster,17,30,11,75851
Ilia,https://www.kaggle.com/ilialar,master,1,12,8,74629
Oleg Yaroshevskiy,https://www.kaggle.com/yaroshevskiy,master,4,14,1,72907
DmitryS,https://www.kaggle.com/simakov,master,3,7,4,72890
limerobot,https://www.kaggle.com/limerobot,grandmaster,5,3,0,70659
YeonJun IN,https://www.kaggle.com/mbnb8317,expert,1,1,0,68866
Konstantin Gavrilchik,https://www.kaggle.com/dempton,grandmaster,5,15,1,68308
ONODERA,https://www.kaggle.com/onodera,grandmaster,6,10,2,66388
