Name,Profile,Tier,Gold,Silver,Bronze,Points
SRK,https://www.kaggle.com/sudalairajkumar,grandmaster,5,5,3,974
Chris Crawford,https://www.kaggle.com/crawford,grandmaster,7,10,54,652
Abhishek Thakur,https://www.kaggle.com/abhishek,grandmaster,7,6,10,582
Chris Deotte,https://www.kaggle.com/cdeotte,master,3,6,4,496
Aspie Girl,https://www.kaggle.com/usharengaraju,grandmaster,7,3,4,472
Bojan Tunguz,https://www.kaggle.com/tunguz,master,1,5,18,319
Rachael Tatman,https://www.kaggle.com/rtatman,master,3,6,40,274
K Scott Mader,https://www.kaggle.com/kmader,master,4,5,10,272
Abigail Larion,https://www.kaggle.com/abigaillarion,master,2,4,41,256
Firat Gonen,https://www.kaggle.com/frtgnn,master,3,4,0,251
Yury Kashnitsky,https://www.kaggle.com/kashnitsky,expert,1,1,3,238
Vopani,https://www.kaggle.com/rohanrao,master,1,4,5,231
Noah Daniels,https://www.kaggle.com/nbdaniels,expert,0,4,22,222
Devakumar kp,https://www.kaggle.com/imdevskp,expert,1,3,4,219
Shivam Bansal,https://www.kaggle.com/shivamb,expert,2,1,1,219
Roshan Sharma,https://www.kaggle.com/roshansharma,master,1,6,6,189
Esther Kim,https://www.kaggle.com/ekim01,master,3,4,16,178
Mitchell J,https://www.kaggle.com/datasnaek,expert,2,2,1,177
Larxel,https://www.kaggle.com/andrewmvd,expert,0,2,9,176
Marília Prata,https://www.kaggle.com/mpwolke,expert,0,0,17,172
datartist,https://www.kaggle.com/kimjihoo,expert,1,0,2,165
Alex Shonenkov,https://www.kaggle.com/shonenkov,expert,1,1,6,147
Bulent Siyah,https://www.kaggle.com/bulentsiyah,expert,0,2,14,143
Rounak Banik,https://www.kaggle.com/rounakbanik,expert,3,0,0,131
Divyansh Agrawal,https://www.kaggle.com/divyansh22,expert,0,3,6,129
Ruchi Bhatia,https://www.kaggle.com/ruchi798,expert,0,4,1,128
xhlulu,https://www.kaggle.com/xhlulu,expert,0,2,6,127
Muhammet Ikbal Elek,https://www.kaggle.com/mielek,expert,0,0,11,119
DanB,https://www.kaggle.com/dansbecker,expert,1,2,10,110
Iafoss,https://www.kaggle.com/iafoss,expert,0,3,5,104
Aleksey Bilogur,https://www.kaggle.com/residentmario,expert,0,4,14,100
Raphael Fontes,https://www.kaggle.com/unanimad,expert,0,3,1,98
Leonardo Henrique,https://www.kaggle.com/leonardopena,expert,1,1,2,93
Parul Pandey,https://www.kaggle.com/parulpandey,expert,0,2,6,92
Prashant Banerjee,https://www.kaggle.com/prashant111,expert,0,1,8,92
raddar,https://www.kaggle.com/raddar,expert,0,2,6,90
Ed King,https://www.kaggle.com/kinguistics,master,2,3,11,86
PromptCloud,https://www.kaggle.com/promptcloud,expert,0,2,13,84
Vitalii Mokin,https://www.kaggle.com/vbmokin,expert,0,4,1,79
Vansh Jatana,https://www.kaggle.com/vanshjatana,expert,0,1,8,77
Rishabh Misra,https://www.kaggle.com/rmisra,expert,1,1,1,76
Jacob Boysen,https://www.kaggle.com/jboysen,expert,0,2,18,76
Xavier,https://www.kaggle.com/xvivancos,expert,0,3,5,75
Anna Wolak,https://www.kaggle.com/annawolak,master,1,6,5,74
Andre Sionek,https://www.kaggle.com/andresionek,expert,1,1,1,74
Andrew Lukyanenko,https://www.kaggle.com/artgor,expert,0,2,3,71
Atul Anand,https://www.kaggle.com/atulanandjha,expert,0,2,3,71
Mukharbek Organokov,https://www.kaggle.com/muhakabartay,expert,0,2,3,69
Chris Gorgolewski,https://www.kaggle.com/chrisfilo,expert,0,1,6,69
Zeeshan-ul-hassan Usmani,https://www.kaggle.com/zusmani,master,1,5,6,66
Johar M. Ashfaque,https://www.kaggle.com/ukveteran,expert,0,0,4,62
Krishna,https://www.kaggle.com/veeralakrishna,expert,0,0,7,61
Caesar Lupum,https://www.kaggle.com/caesarlupum,expert,0,0,5,60
David Beniaguev,https://www.kaggle.com/selfishgene,expert,2,0,2,59
Ashish Gupta,https://www.kaggle.com/roydatascience,expert,0,1,2,59
JohnM,https://www.kaggle.com/jpmiller,expert,0,2,2,58
Hieu Phung,https://www.kaggle.com/phunghieu,expert,0,0,4,58
beluga,https://www.kaggle.com/gaborfodor,expert,1,0,2,57
Mathurin Aché,https://www.kaggle.com/mathurinache,expert,0,0,4,57
Mobassir,https://www.kaggle.com/mobassir,expert,0,1,3,54
Andrada Olteanu,https://www.kaggle.com/andradaolteanu,expert,0,0,6,54
Olga Belitskaya,https://www.kaggle.com/olgabelitskaya,expert,0,1,5,53
Stefano Leone,https://www.kaggle.com/stefanoleone992,expert,0,1,2,53
Eswar Chand,https://www.kaggle.com/eswarchandt,expert,0,1,3,53
Cam Nugent,https://www.kaggle.com/camnugent,expert,1,1,3,52
Minyong Shin,https://www.kaggle.com/gyejr95,expert,0,0,7,52
Andriy Samoshin,https://www.kaggle.com/mrmorj,expert,0,0,4,51
Rajanand Ilangovan,https://www.kaggle.com/rajanand,expert,0,3,8,50
anokas,https://www.kaggle.com/anokas,expert,1,1,2,50
ryches,https://www.kaggle.com/ryches,expert,0,2,3,48
akensert,https://www.kaggle.com/akensert,expert,0,2,2,48
Heads or Tails,https://www.kaggle.com/headsortails,expert,0,1,2,46
Rohk,https://www.kaggle.com/therohk,expert,1,1,4,45
yuval reina,https://www.kaggle.com/yuval6967,expert,0,2,1,44
Ryan Han,https://www.kaggle.com/ryanxjhan,expert,0,1,4,44
SAIF UDDIN,https://www.kaggle.com/saife245,expert,0,0,5,44
ma7555,https://www.kaggle.com/ma7555,expert,0,0,3,44
Shion,https://www.kaggle.com/shiondatafiniti,expert,0,2,4,43
Fares Sayah,https://www.kaggle.com/faressayah,expert,0,0,4,42
G_R_S,https://www.kaggle.com/danoozy44,expert,0,0,6,42
nicapotato,https://www.kaggle.com/nicapotato,expert,1,0,2,41
Dieter,https://www.kaggle.com/christofhenkel,expert,0,0,5,41
nosound,https://www.kaggle.com/zaharch,expert,0,1,2,41
Salman Ibne Eunus,https://www.kaggle.com/salmaneunus,expert,0,0,5,39
Mike Chirico,https://www.kaggle.com/mchirico,expert,1,2,4,38
