Name,Profile,Tier,Gold,Silver,Bronze,Points
Chris Deotte,https://www.kaggle.com/cdeotte,grandmaster,171,207,2223,7168
CPMP,https://www.kaggle.com/cpmpml,grandmaster,263,401,3383,6381
,https://www.kaggle.com/hengck23,grandmaster,214,240,1337,4145
Psi,https://www.kaggle.com/philippsinger,grandmaster,73,109,691,2663
Marília Prata,https://www.kaggle.com/mpwolke,expert,3,19,2677,2453
Konstantin Yakovlev,https://www.kaggle.com/kyakovlev,master,46,44,371,2300
Abhishek Thakur,https://www.kaggle.com/abhishek,grandmaster,113,114,751,2076
Bojan Tunguz,https://www.kaggle.com/tunguz,grandmaster,126,155,653,1950
Dieter,https://www.kaggle.com/christofhenkel,grandmaster,94,96,434,1864
Andrew Lukyanenko,https://www.kaggle.com/artgor,grandmaster,73,60,626,1695
Nanashi,https://www.kaggle.com/jesucristo,grandmaster,63,67,548,1651
Giba,https://www.kaggle.com/titericz,grandmaster,91,102,429,1523
Ahmet Erdem,https://www.kaggle.com/aerdem4,master,57,59,268,1224
Firat Gonen,https://www.kaggle.com/frtgnn,grandmaster,55,22,637,1202
Rob Mulla,https://www.kaggle.com/robikscube,grandmaster,51,43,420,1177
Mobassir,https://www.kaggle.com/mobassir,master,29,51,707,1152
Bibek,https://www.kaggle.com/bibek777,master,37,43,208,1148
Vopani,https://www.kaggle.com/rohanrao,master,45,34,209,1130
Kha Vo,https://www.kaggle.com/khahuras,master,26,45,363,1056
Scirpus,https://www.kaggle.com/scirpus,grandmaster,73,107,780,1044
DrHB,https://www.kaggle.com/drhabib,master,31,44,224,1042
Khoi Nguyen,https://www.kaggle.com/suicaokhoailang,master,37,52,206,992
ryches,https://www.kaggle.com/ryches,master,41,32,232,977
Gunes Evitan,https://www.kaggle.com/gunesevitan,master,32,35,309,970
Qishen Ha,https://www.kaggle.com/haqishen,expert,22,23,133,964
Prashant Banerjee,https://www.kaggle.com/prashant111,grandmaster,54,40,461,952
Nirjhar Roy,https://www.kaggle.com/phoenix9032,master,25,34,396,920
Aditya Soni,https://www.kaggle.com/adityaecdrid,expert,19,24,680,914
olivier,https://www.kaggle.com/ogrellier,grandmaster,56,66,704,891
Raju Kumar Mishra,https://www.kaggle.com/dataraj,master,40,29,405,875
ONODERA,https://www.kaggle.com/onodera,master,38,48,185,838
Xuan Cao,https://www.kaggle.com/naivelamb,master,31,40,214,838
Trigram,https://www.kaggle.com/nxrprime,expert,13,17,335,825
Tilii,https://www.kaggle.com/tilii7,grandmaster,70,129,782,817
Yassine Alouini,https://www.kaggle.com/yassinealouini,master,22,30,310,804
Serigne,https://www.kaggle.com/serigne,master,25,81,521,797
raddar,https://www.kaggle.com/raddar,master,66,68,337,792
