Name,Profile,Tier,Gold,Silver,Bronze,Points
Chris Deotte,https://www.kaggle.com/cdeotte,grandmaster,39,12,3,3486
Andrew Lukyanenko,https://www.kaggle.com/artgor,grandmaster,37,19,23,3450
DanB,https://www.kaggle.com/dansbecker,grandmaster,38,7,18,3264
Abhishek Thakur,https://www.kaggle.com/abhishek,grandmaster,31,15,14,2723
Konstantin Yakovlev,https://www.kaggle.com/kyakovlev,grandmaster,17,13,8,1943
SRK,https://www.kaggle.com/sudalairajkumar,grandmaster,29,13,17,1932
Alex Shonenkov,https://www.kaggle.com/shonenkov,grandmaster,15,5,4,1897
Rob Mulla,https://www.kaggle.com/robikscube,grandmaster,19,8,26,1842
xhlulu,https://www.kaggle.com/xhlulu,grandmaster,21,9,20,1808
Tarun Paparaju,https://www.kaggle.com/tarunpaparaju,grandmaster,15,7,11,1735
Parul Pandey,https://www.kaggle.com/parulpandey,grandmaster,16,5,20,1709
Bojan Tunguz,https://www.kaggle.com/tunguz,grandmaster,19,35,89,1689
DATAI,https://www.kaggle.com/kanncaa1,grandmaster,17,6,5,1683
Gabriel Preda,https://www.kaggle.com/gpreda,grandmaster,25,21,25,1675
Vansh Jatana,https://www.kaggle.com/vanshjatana,grandmaster,16,2,18,1534
Heads or Tails,https://www.kaggle.com/headsortails,grandmaster,19,0,0,1438
Shivam Bansal,https://www.kaggle.com/shivamb,grandmaster,23,12,16,1359
Iafoss,https://www.kaggle.com/iafoss,grandmaster,16,1,7,1352
Shahules,https://www.kaggle.com/shahules,master,12,5,5,1231
Rachael Tatman,https://www.kaggle.com/rtatman,grandmaster,17,33,56,1205
Mr_KnowNothing,https://www.kaggle.com/tanulsingh077,master,6,5,0,1200
Peter,https://www.kaggle.com/pestipeti,master,12,12,5,1171
Yassine Ghouzam,https://www.kaggle.com/yassineghouzam,expert,2,2,2,1137
Vitalii Mokin,https://www.kaggle.com/vbmokin,master,11,9,28,1108
Prashant Banerjee,https://www.kaggle.com/prashant111,master,11,17,12,1089
Anisotropic,https://www.kaggle.com/arthurtok,grandmaster,15,4,4,1086
Leonardo Ferreira,https://www.kaggle.com/kabure,grandmaster,17,8,17,1072
Nanashi,https://www.kaggle.com/jesucristo,grandmaster,17,4,2,1028
Laura Fink,https://www.kaggle.com/allunia,master,13,7,5,1019
Aleksey Bilogur,https://www.kaggle.com/residentmario,master,12,11,26,991
Dieter,https://www.kaggle.com/christofhenkel,grandmaster,16,8,5,981
Mobassir,https://www.kaggle.com/mobassir,master,14,4,7,969
Trigram,https://www.kaggle.com/nxrprime,master,4,7,25,925
ColinMorris,https://www.kaggle.com/colinmorris,master,10,6,7,919
corochann,https://www.kaggle.com/corochann,master,7,7,7,908
Yury Kashnitsky,https://www.kaggle.com/kashnitsky,master,11,15,25,892
ragnar,https://www.kaggle.com/ragnar123,master,6,12,7,879
Roshan Sharma,https://www.kaggle.com/roshansharma,grandmaster,15,4,11,855
Wei Hao Khoong,https://www.kaggle.com/khoongweihao,master,8,10,10,846
Vopani,https://www.kaggle.com/rohanrao,master,6,8,6,836
Serigne,https://www.kaggle.com/serigne,expert,2,1,3,810
Firat Gonen,https://www.kaggle.com/frtgnn,grandmaster,15,2,4,802
Caesar Lupum,https://www.kaggle.com/caesarlupum,master,4,8,24,765
Aspie Girl,https://www.kaggle.com/usharengaraju,master,4,7,0,763
olivier,https://www.kaggle.com/ogrellier,grandmaster,17,9,10,740
NowYSM,https://www.kaggle.com/ashishpatel26,master,5,17,59,739
Will Koehrsen,https://www.kaggle.com/willkoehrsen,master,7,6,4,717
Gunes Evitan,https://www.kaggle.com/gunesevitan,expert,4,4,7,716
Siddhartha,https://www.kaggle.com/meaninglesslives,master,11,8,12,714
ratan rohith,https://www.kaggle.com/ratan123,master,10,5,0,704
Roman,https://www.kaggle.com/nroman,master,6,6,3,679
python10pm,https://www.kaggle.com/python10pm,expert,5,4,7,671
Murilão,https://www.kaggle.com/upadorprofzs,expert,6,0,0,670
K Scott Mader,https://www.kaggle.com/kmader,master,8,18,47,664
